Project ID,Resource Item Name,Resource Quantity,Resource Unit Price,Resource Vendor Name
bdd640fb06671ad11c80317fa3b1799d,"gaiam kids stay-n-play balance ball, grey",44.0,398.73,Lakeshore Learning Materials
f143262fdc5c0eed8da0365bf89897b9,apple ipad wi-fi 32gb,8.0,135.61,Amazon Business
451b4cf36123fdf77656af7229d4beef,sony mdr zx100 blk headphones,17.0,437.49,Amazon Business
0e51f30dc6a7ee39c4b032ccd7c524a5,"gaiam kids stay-n-play balance ball, grey",41.0,137.81,
0e51f30dc6a7ee39c4b032ccd7c524a5,"serta lounger, mini, sky blue",10.0,171.39,Amazon Business
10f1bc81448aaa9e66b2bc5b50c187fc,scholastic classroom magazine subscription,1.0,271.53,Quill.com
23b8c1e9392456de3eb13b9046685257,"gaiam kids stay-n-play balance ball, grey",24.0,396.03,Lakeshore Learning Materials
759cde66bacfb3d00b1f9163ce9ff57f,sony mdr zx100 blk headphones,16.0,395.71,CDW-G
9a1de644815ef6d13b8faa1837f8a88b,heavy duty pencil sharpener,5.0,440.2,Blick Art Materials
f143262fdc5c0eed8da0365bf89897b9,cf520x - giant comfy pillows - set of 4,9.0,298.59,Blick Art Materials
6c307511b2b9437a28df6ec4ce4a2bbd,chair move and store cart,34.0,393.23,Quill.com
5be6128e18c267976142ea7d17be3111,scholastic classroom magazine subscription,45.0,94.51,Lakeshore Learning Materials
ab9099a435a240ae5af305535ec42e08,apple ipad wi-fi 32gb,2.0,5000.0,Quill.com
6b65a6a48b8148f6b38a088ca65ed389,"serta lounger, mini, sky blue",15.0,33.49,CDW-G
e27a984d654821d07fcd9eb1a7cad415,scholastic classroom magazine subscription,15.0,266.86,CDW-G
17fc695a07a0ca6e0822e8f36c031199,sony mdr zx100 blk headphones,15.0,34.99,CDW-G
fc377a4c4a15544dc5e7ce8a3a578a8e,"gaiam kids stay-n-play balance ball, grey",33.0,110.91,
5304317faf42e12f3838b3268e944239,"serta lounger, mini, sky blue",35.0,63.88,Blick Art Materials
366eb16f508ebad7b7c93acfe059a0ee,heavy duty pencil sharpener,16.0,354.16,Quill.com
1a2a73ed562b0f79c37459eef50bea63,"gaiam kids stay-n-play balance ball, grey",7.0,298.25,Lakeshore Learning Materials
a28defe39bf0027312476f57a5e5a5ab,crayola washable markers,30.0,389.41,CDW-G
7e570ddf827050a82369b584ff5e9ff0,"gaiam kids stay-n-play balance ball, grey",4.0,184.17,Lakeshore Learning Materials
b74d0fb132e706298fadc1a606cb0fb3,"serta lounger, mini, sky blue",13.0,89.64,Quill.com
4737819096da1dac72ff5d2a386ecbe0,crayola washable markers,12.0,128.95,Amazon Business
17fc695a07a0ca6e0822e8f36c031199,heavy duty pencil sharpener,36.0,48.57,
10f1bc81448aaa9e66b2bc5b50c187fc,sony mdr zx100 blk headphones,6.0,417.23,Amazon Business
6c307511b2b9437a28df6ec4ce4a2bbd,crayola washable markers,32.0,219.2,Quill.com
972a846916419f828b9d2434e465e150,cf520x - giant comfy pillows - set of 4,25.0,5.96,Quill.com
ec1b8ca1f91e1d4c1ff49b7889463e85,heavy duty pencil sharpener,19.0,193.24,
9132b63ef16287e4e9c349e03602f8ac,heavy duty pencil sharpener,10.0,89.5,Amazon Business
972a846916419f828b9d2434e465e150,scholastic classroom magazine subscription,4.0,337.85,CDW-G
972a846916419f828b9d2434e465e150,heavy duty pencil sharpener,33.0,414.13,Blick Art Materials
6c307511b2b9437a28df6ec4ce4a2bbd,sony mdr zx100 blk headphones,33.0,40.65,Amazon Business
17fc695a07a0ca6e0822e8f36c031199,"gaiam kids stay-n-play balance ball, grey",44.0,388.51,Quill.com
6b65a6a48b8148f6b38a088ca65ed389,"serta lounger, mini, sky blue",38.0,269.56,Blick Art Materials
9a1de644815ef6d13b8faa1837f8a88b,crayola washable markers,43.0,264.73,Blick Art Materials
a9488d990bbb259911ce5dd2b45ed1f0,chair move and store cart,14.0,303.03,Lakeshore Learning Materials
759cde66bacfb3d00b1f9163ce9ff57f,chair move and store cart,26.0,63.24,
3139d32c93cd59bf5c941cf0dc98d2c1,heavy duty pencil sharpener,21.0,418.41,CDW-G
bdd640fb06671ad11c80317fa3b1799d,heavy duty pencil sharpener,40.0,449.31,CDW-G
17fc695a07a0ca6e0822e8f36c031199,scholastic classroom magazine subscription,14.0,230.12,Amazon Business
ddd1dfb23b982ef8daf61a26146d3f31,"gaiam kids stay-n-play balance ball, grey",16.0,169.44,Amazon Business
3eabedcbbaa80dd488bd64072bcfbe01,scholastic classroom magazine subscription,20.0,277.2,
ce177b4e0837b8a3d261a7ab3aa2e4f9,sony mdr zx100 blk headphones,43.0,368.61,Lakeshore Learning Materials
ff50bde4382567b85cabcc97663f1c97,"gaiam kids stay-n-play balance ball, grey",9.0,122.69,CDW-G
988c24c961b1cd2262801c4510435a10,scholastic classroom magazine subscription,10.0,126.19,Blick Art Materials
5be6128e18c267976142ea7d17be3111,apple ipad wi-fi 32gb,14.0,310.94,Lakeshore Learning Materials
0e51f30dc6a7ee39c4b032ccd7c524a5,heavy duty pencil sharpener,17.0,407.87,CDW-G
9a1de644815ef6d13b8faa1837f8a88b,crayola washable markers,18.0,24.62,Lakeshore Learning Materials
f143262fdc5c0eed8da0365bf89897b9,cf520x - giant comfy pillows - set of 4,41.0,441.01,Amazon Business
988c24c961b1cd2262801c4510435a10,heavy duty pencil sharpener,36.0,319.02,Blick Art Materials
bdd640fb06671ad11c80317fa3b1799d,"gaiam kids stay-n-play balance ball, grey",5.0,425.55,
c241330b01a9e71fde8a774bcf36d58b,scholastic classroom magazine subscription,3.0,376.39,Blick Art Materials
9132b63ef16287e4e9c349e03602f8ac,cf520x - giant comfy pillows - set of 4,28.0,61.71,Lakeshore Learning Materials
7412b29347294739614ff3d719db3ad0,sony mdr zx100 blk headphones,23.0,98.48,Amazon Business
ff50bde4382567b85cabcc97663f1c97,"gaiam kids stay-n-play balance ball, grey",23.0,352.15,Quill.com
beb799193f22faf823bed01d43cf2fde,cf520x - giant comfy pillows - set of 4,16.0,389.75,Amazon Business
aefcfad8efc89849b3aa7efe4458a885,sony mdr zx100 blk headphones,12.0,332.77,Lakeshore Learning Materials
aefcfad8efc89849b3aa7efe4458a885,"serta lounger, mini, sky blue",18.0,75.84,
b74d0fb132e706298fadc1a606cb0fb3,crayola washable markers,3.0,387.07,Amazon Business
1a2a73ed562b0f79c37459eef50bea63,heavy duty pencil sharpener,23.0,140.81,Amazon Business
43b7a3a69a8dca03580d7b71d8f56413,sony mdr zx100 blk headphones,43.0,90.94,Lakeshore Learning Materials
4b0dbb418d5288f1142c3fe860e7a113,"gaiam kids stay-n-play balance ball, grey",18.0,161.26,Blick Art Materials
ab9099a435a240ae5af305535ec42e08,scholastic classroom magazine subscription,22.0,422.96,CDW-G
ec1b8ca1f91e1d4c1ff49b7889463e85,cf520x - giant comfy pillows - set of 4,38.0,433.33,Lakeshore Learning Materials
bd9c66b3ad3c2d6d1a3d1fa7bc8960a9,"gaiam kids stay-n-play balance ball, grey",39.0,198.38,
a9488d990bbb259911ce5dd2b45ed1f0,crayola washable markers,39.0,442.98,CDW-G
29a3b2e95d65a441d58842dea2bc372f,"serta lounger, mini, sky blue",17.0,24.75,Quill.com
bdd640fb06671ad11c80317fa3b1799d,scholastic classroom magazine subscription,35.0,310.65,
988c24c961b1cd2262801c4510435a10,"serta lounger, mini, sky blue",24.0,196.93,
fc377a4c4a15544dc5e7ce8a3a578a8e,apple ipad wi-fi 32gb,43.0,382.37,
3139d32c93cd59bf5c941cf0dc98d2c1,scholastic classroom magazine subscription,20.0,301.77,Lakeshore Learning Materials
ab9099a435a240ae5af305535ec42e08,chair move and store cart,36.0,61.64,Quill.com
ff50bde4382567b85cabcc97663f1c97,crayola washable markers,44.0,337.92,Amazon Business
beb799193f22faf823bed01d43cf2fde,chair move and store cart,26.0,248.83,CDW-G
3139d32c93cd59bf5c941cf0dc98d2c1,chair move and store cart,14.0,196.3,Blick Art Materials
