Project ID,School ID,Teacher ID,Teacher Project Posted Sequence,Project Type,Project Title,Project Essay,Project Subject Category Tree,Project Subject Subcategory Tree,Project Grade Level Category,Project Resource Category,Project Cost,Project Posted Date,Project Current Status,Project Fully Funded Date
bdd640fb06671ad11c80317fa3b1799d,23b8c1e9392456de3eb13b9046685257,bd9c66b3ad3c2d6d1a3d1fa7bc8960a9,5,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science","Applied Sciences, Literature & Writing",Grades PreK-2,Books,$231.17,2014-04-22,Live,
32e706298fadc1a606cb0fb39a1de644,8b8148f6b38a088ca65ed389b74d0fb1,96da1dac72ff5d2a386ecbe06b65a6a4,3,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,Music & The Arts,"Applied Sciences, Literature & Writing",Grades 3-5,Technology,$317.67,2014-11-21,Fully Funded,2014-12-01
d8f564135be6128e18c267976142ea7d,ce9ff57f43b7a3a69a8dca03580d7b71,89463e85759cde66bacfb3d00b1f9163,1,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Literacy, Mathematics",Grades 3-5,Trips,$1339.63,2015-01-11,Live,
0bbb259911ce5dd2b45ed1f03139d32c,4a15544dc5e7ce8a3a578a8ea9488d99,3b982ef8daf61a26146d3f31fc377a4c,1,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Applied Sciences, Literature & Writing",Grades 3-5,Supplies,$618.25,2014-03-06,Fully Funded,2014-04-24
12476f57a5e5a5abaefcfad8efc89849,88bd64072bcfbe01a28defe39bf00273,7656af7229d4beef3eabedcbbaa80dd4,4,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science",Music,Grades 3-5,Books,$420.67,2013-03-07,Fully Funded,2013-04-06
e9c349e03602f8ac10f1bc81448aaa9e,b7c93acfe059a0ee9132b63ef16287e4,7fcd9eb1a7cad415366eb16f508ebad7,4,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,Music & The Arts,"Literacy, Special Needs",Grades 6-8,Supplies,$1142.98,2016-01-09,Fully Funded,2016-03-01
956269f0e5d7b8756dadd6c795a76d79,ff50bde4382567b85cabcc97663f1c97,7e570ddf827050a82369b584ff5e9ff0,1,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language",Music,Grades 6-8,Other,$934.97,2015-02-28,Fully Funded,2015-04-12
405cacec877409a977d21e02ff01cf99,f143262fdc5c0eed8da0365bf89897b9,1d53434bb88139b9ae270da702f06b90,5,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Character Education, Literacy",Grades 3-5,Other,$321.42,2013-01-07,Fully Funded,2013-02-13
e9a1fa6f81f76d1c2dbc2134c30ff46e,4c66e0a8a013ac6ededa4e161b3dbd5c,9be578c781f631d4a39231a7d777a477,2,Teacher-Led,Ukuleles For Middle Schoolers,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs",Music,Grades PreK-2,Trips,$553.82,2013-02-09,Fully Funded,2013-03-09
ce88cb2dd4e80839fc3e058be0f3eab0,3da9c2a90ed42f1a3d4cbf374eb93eff,14296c07f26b4776913e4de2e0c53cb8,1,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Literacy, Mathematics",Grades 6-8,Supplies,$1023.65,2016-01-31,Expired,
9b49bd26df57c59a8715a10343dac043,edcd465e36386821f6e07cc06c52c49f,b09b2a5cbadcc32ac1590f538a0f4efb,2,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language","Literacy, Special Needs",Grades 9-12,Trips,$732.08,2014-05-23,Expired,
969b666205628059568cc69b1064005c,38602ab696a402f23ae8cc938dcdcd03,a18ff6b6b535106e122c9a5601d74256,1,Teacher-Led,Ukuleles For Middle Schoolers,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Character Education, Literacy",Grades 3-5,Books,$819.82,2014-07-25,Fully Funded,2014-08-12
ef7ddc76b92da22b21df306f8a0b3c33,7900f7f993829b43922fe15ae1e3db63,ceb81f9d7914c120c8dcd19f3e351128,4,Teacher-Led,Ukuleles For Middle Schoolers,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Character Education, Literacy",Grades 9-12,Technology,$693.01,2015-08-15,Fully Funded,2015-10-02
