Project ID,Donation ID,Donor ID,Donation Included Optional Donation,Donation Amount,Donor Cart Sequence,Donation Received Date
64c372e525c54b9f9b0427092903a4f3,de2baecd27c24e23aa5bd21e183e48a6,736ba5cd55cb413ba1d1e94a232c89d2,No,7.74,1,2016-09-16 11:26:10
64c372e525c54b9f9b0427092903a4f3,d7a90f41fd4e4aee854942a1279c7a26,a593e236247a41a8aefe7be8d3fa90d4,No,53.62,1,2016-09-27 10:31:36
64c372e525c54b9f9b0427092903a4f3,0b91c5e085c1459f878ad0f0fd4de096,19f011417a864cb6a0a03e253be09449,No,362.03,1,2016-10-08 07:04:13
64c372e525c54b9f9b0427092903a4f3,da930178aba74bdea9cb2992c86e5eaa,ebc03d79e71744da8af0cabf523e2206,No,30.23,1,2016-10-27 06:50:17
64c372e525c54b9f9b0427092903a4f3,c7fd8e025c264b9ba9c525a032f04bde,07e29090e32b4e638863117ad361336f,No,22.33,1,2016-10-06 02:42:06
64c372e525c54b9f9b0427092903a4f3,8017c583b34a4ecba0da70db7d00a369,89bcd078fe9c45ccb5a54b6624972d98,No,144.72,1,2016-09-14 04:50:26
64c372e525c54b9f9b0427092903a4f3,3eb528eebb1a4644b78ced61620d86a7,70d8bd114496407b904c6be832acc8e6,No,35.58,1,2016-10-01 07:39:19
64c372e525c54b9f9b0427092903a4f3,907fcdb526e74076b00ad10fc5f51e7e,f3f692640e824578b3ee2ce16423b4fc,No,4.82,1,2016-09-25 14:14:04
64c372e525c54b9f9b0427092903a4f3,f6f31ff76cef462b8871e6fb6424bbb3,24bf015f30c849f785536c77620851d1,No,148.92,1,2016-10-27 06:06:55
a493aa8a4db642919297862995f992dd,09ab761bbd414c2596a4d3e1a2690a1f,dcd9d7a65fbc49c9bfc7b19a33c3a098,No,10.36,1,2016-06-06 14:00:55
a493aa8a4db642919297862995f992dd,6a81171182794cceb798033f477304b2,e7ad89d12530457993cc0b4a115b4217,Yes,32.67,1,2016-08-20 00:37:18
a493aa8a4db642919297862995f992dd,5a89f4a444d14af99c0cad58fa9401ec,1951a659d5c04f24867bdda3e108770d,No,292.21,1,2016-06-25 22:48:55
a493aa8a4db642919297862995f992dd,dc7624db3dd6417499f4982354b50ee2,a02a26d09cae407a83d8e0160092e4bb,No,49.4,1,2016-06-27 15:23:36
a493aa8a4db642919297862995f992dd,35bd4e1341294e529f5c7926014956cf,20001d94bce9470dabf197052d352072,No,42.34,1,2016-07-28 14:24:36
a493aa8a4db642919297862995f992dd,78b26384d5864c09af794d382a7c9040,f97a792e815b4c149a6260533ff82024,No,41.5,1,2016-06-09 12:01:55
7f1e7834832049279a64ae35f5505a7e,88819744cb684a729436b9bee14201af,522107e752f54870abba6942d940d3d8,Yes,54.06,1,2014-08-02 05:59:22
