Project ID,School ID,Teacher ID,Teacher Project Posted Sequence,Project Type,Project Title,Project Essay,Project Subject Category Tree,Project Subject Subcategory Tree,Project Grade Level Category,Project Resource Category,Project Cost,Project Posted Date,Project Current Status,Project Fully Funded Date
64c372e525c54b9f9b0427092903a4f3,b7d9994b77ca408bb52b54283adea49b,bbd8d5152caa46f7ac9dc5a654e82657,1,Teacher-Led,A New Way to Explore Science,My students need a set of calculators to help them succeed in the classroom this year.,"Health & Sports, Special Needs",Mathematics,Grades 9-12,"Food, Clothing & Hygiene",$246.27,2016-09-13,Fully Funded,2016-11-01
a493aa8a4db642919297862995f992dd,a3bd7da424c34cd8bd0737733d10bcc5,0a5416a439fc441997dac980a7e624d5,1,Teacher-Led,A New Way to Explore Science,Our classroom is full of eager learners who would benefit greatly from a robotics kit.,Math & Science,Performing Arts,Grades 9-12,Instructional Technology,$407.55,2016-05-28,Live,
7f1e7834832049279a64ae35f5505a7e,bac417eb10b548578ab46f5978073b04,c85a1586af554dea9fd390a53a43f813,1,Teacher-Led,Hands-On History Adventure,This year my goal is to use a robotics kit to build confidence and curiosity in my students.,"Special Needs, Math & Science","Health & Wellness, Visual Arts",Grades PreK-2,Sports & Exercise Equipment,$440.23,2014-07-29,Fully Funded,2014-08-15
7a34f3572e034f478f1bab43a46c5f69,ace4c5b9796f4999b04a8bbdd519d860,33232e51e7574d2db78fc52520ac0e35,1,Professional Development,Bringing Robotics to Life,My students need a classroom library to help them succeed in the classroom this year.,"Math & Science, Health & Sports","Applied Sciences, Performing Arts",Grades 9-12,Supplies,$95.70,2013-09-30,Expired,
ac439dbb6add4eccadd61847bde7468d,a33185180ae84bfd98d5eae504f03169,66f12414fdb64474b0e47f2ae091a3a4,1,Teacher-Led,Hands-On Physical Education Adventure,Many of my students come from low income families and a set of calculators would make a huge difference.,Literacy & Language,Health & Wellness,Grades 9-12,Sports & Exercise Equipment,$50.00,2015-12-26,Expired,
6a1fb3feaa42487aa905edc3c8e25e62,daed94fedbaf49a29a89a21ad5aaf717,67df6793648047129e0134f4e0c14c5f,1,Teacher-Led,A New Way to Explore Robotics,Many of my students come from low income families and a classroom set of tablets would make a huge difference.,Math & Science,"Mathematics, Special Needs",Grades 6-8,Visitors,$313.93,2015-01-24,Expired,
724faa9538db453295a64506bd2cede3,98e9c595720d4b63b0be346449b1204e,c71745a1cc8147e2bcc11e76bbbaa0c6,1,Teacher-Led,Hands-On History Adventure,"With a classroom library, my students will be able to engage more deeply with the material.",Literacy & Language,"Special Needs, Visual Arts",Grades 9-12,Trips,$428.25,2013-07-02,Fully Funded,2013-08-13
4319f7e8ffa742178ffba51d86d29008,edfbee99faa84b709f6626c8e0d001f7,975a22547feb48348cd4d05972d9eb5b,1,Teacher-Led,Building Skills in Coding,"With science kits, my students will be able to engage more deeply with the material.",Literacy & Language,Special Needs,Grades PreK-2,"Food, Clothing & Hygiene",$155.39,2015-07-13,Expired,
4dcbcd0b60154e30ba0e19c9239e359b,4b64f245b59f4da3a3d7957940fc3060,4860b00283f447b1a141854808b3b5c5,1,Teacher-Led,Building Skills in Geography,"With art supplies, my students will be able to engage more deeply with the material.",Special Needs,Applied Sciences,Grades 3-5,Supplies,$441.99,2016-03-24,Expired,
068d5e3001614798bd59e5ddd9cae41d,3d178635e94e436d8593e2e206736114,6bcc97c8380d43879cf05fbbdb352e10,1,Teacher-Led,Empowering Learners through Art,"With sports equipment, my students will be able to engage more deeply with the material.","Special Needs, Health & Sports",Special Needs,Grades PreK-2,Instructional Technology,$232.11,2016-06-18,Expired,
