Project ID,Resource Item Name,Resource Quantity,Resource Unit Price,Resource Vendor Name
64c372e525c54b9f9b0427092903a4f3,graphing calculator,40.0,13.69,Best Buy Co
a493aa8a4db642919297862995f992dd,microscope for classroom use,27.0,27.98,Woodwind & Brasswind
a493aa8a4db642919297862995f992dd,graphing calculator,21.0,6.09,Blick Art Materials
7f1e7834832049279a64ae35f5505a7e,sensory fidget tools set,31.0,13.72,AKJ Education
7f1e7834832049279a64ae35f5505a7e,sensory fidget tools set,47.0,16.73,Woodwind & Brasswind
7f1e7834832049279a64ae35f5505a7e,basketballs (set of 6),8.0,103.02,School Specialty
7f1e7834832049279a64ae35f5505a7e,microscope for classroom use,18.0,32.38,Blick Art Materials
7f1e7834832049279a64ae35f5505a7e,science kit - magnets and motion,39.0,69.07,Blick Art Materials
7a34f3572e034f478f1bab43a46c5f69,hp 11.6 chromebook,41.0,29.02,School Specialty
ac439dbb6add4eccadd61847bde7468d,hp 11.6 chromebook,40.0,39.75,Lakeshore Learning Materials
ac439dbb6add4eccadd61847bde7468d,apple ipad wi-fi 32gb,29.0,50.06,Woodwind & Brasswind
ac439dbb6add4eccadd61847bde7468d,graphing calculator,15.0,6.74,Blick Art Materials
ac439dbb6add4eccadd61847bde7468d,classroom library book set,6.0,74.66,Woodwind & Brasswind
ac439dbb6add4eccadd61847bde7468d,basketballs (set of 6),18.0,15.6,Woodwind & Brasswind
6a1fb3feaa42487aa905edc3c8e25e62,hp 11.6 chromebook,22.0,19.93,AKJ Education
6a1fb3feaa42487aa905edc3c8e25e62,basketballs (set of 6),16.0,9.85,Woodwind & Brasswind
6a1fb3feaa42487aa905edc3c8e25e62,privacy partition,43.0,55.15,Lakeshore Learning Materials
6a1fb3feaa42487aa905edc3c8e25e62,apple ipad wi-fi 32gb,28.0,245.68,Lakeshore Learning Materials
6a1fb3feaa42487aa905edc3c8e25e62,soft seating cushion,25.0,38.22,Amazon Business
724faa9538db453295a64506bd2cede3,"gaiam kids stay-n-play balance ball, grey",20.0,6.11,Woodwind & Brasswind
724faa9538db453295a64506bd2cede3,basketballs (set of 6),8.0,6.72,School Specialty
724faa9538db453295a64506bd2cede3,privacy partition,27.0,14.63,AKJ Education
724faa9538db453295a64506bd2cede3,sensory fidget tools set,34.0,72.71,Blick Art Materials
724faa9538db453295a64506bd2cede3,soft seating cushion,41.0,6.67,Discount School Supply
4319f7e8ffa742178ffba51d86d29008,black write and wipe markers,5.0,10.01,School Specialty
4319f7e8ffa742178ffba51d86d29008,sensory fidget tools set,3.0,70.42,School Specialty
4319f7e8ffa742178ffba51d86d29008,flexible seating stool,26.0,47.07,Discount School Supply
4319f7e8ffa742178ffba51d86d29008,wireless headphones,7.0,42.07,Discount School Supply
4319f7e8ffa742178ffba51d86d29008,microscope for classroom use,21.0,40.13,Best Buy Co
4dcbcd0b60154e30ba0e19c9239e359b,microscope for classroom use,2.0,23.12,Best Buy Co
4dcbcd0b60154e30ba0e19c9239e359b,microscope for classroom use,8.0,18.84,Lakeshore Learning Materials
4dcbcd0b60154e30ba0e19c9239e359b,hp 11.6 chromebook,32.0,15.42,AKJ Education
4dcbcd0b60154e30ba0e19c9239e359b,microscope for classroom use,38.0,17.19,AKJ Education
068d5e3001614798bd59e5ddd9cae41d,classroom library book set,49.0,30.49,School Specialty
068d5e3001614798bd59e5ddd9cae41d,science kit - magnets and motion,4.0,8.67,Woodwind & Brasswind
068d5e3001614798bd59e5ddd9cae41d,flexible seating stool,10.0,5.32,School Specialty
068d5e3001614798bd59e5ddd9cae41d,wireless headphones,32.0,35.95,Best Buy Co
d083f9c05aae49e7b03228ead13ebd18,"gaiam kids stay-n-play balance ball, grey",40.0,45.96,Best Buy Co
d083f9c05aae49e7b03228ead13ebd18,hp 11.6 chromebook,39.0,14.91,Amazon Business
d083f9c05aae49e7b03228ead13ebd18,"gaiam kids stay-n-play balance ball, grey",19.0,51.76,Discount School Supply
337fbbd7a123473d84f302bb0189a199,soft seating cushion,26.0,18.23,Woodwind & Brasswind
337fbbd7a123473d84f302bb0189a199,microscope for classroom use,19.0,75.68,Lakeshore Learning Materials
337fbbd7a123473d84f302bb0189a199,black write and wipe markers,3.0,16.47,Discount School Supply
a72128d0f2ce4cf492b13e59c1cbcd58,sensory fidget tools set,20.0,58.63,AKJ Education
a72128d0f2ce4cf492b13e59c1cbcd58,apple ipad wi-fi 32gb,28.0,5.31,AKJ Education
a72128d0f2ce4cf492b13e59c1cbcd58,hp 11.6 chromebook,31.0,52.21,Lakeshore Learning Materials
a72128d0f2ce4cf492b13e59c1cbcd58,"gaiam kids stay-n-play balance ball, grey",35.0,2.0,Blick Art Materials
dc8aa27555154d8abc9fb3eebb5c8cc5,sensory fidget tools set,21.0,23.51,Lakeshore Learning Materials
dc8aa27555154d8abc9fb3eebb5c8cc5,sensory fidget tools set,33.0,166.88,Amazon Business
dc8aa27555154d8abc9fb3eebb5c8cc5,art easel,39.0,12.02,Best Buy Co
dc8aa27555154d8abc9fb3eebb5c8cc5,microscope for classroom use,45.0,55.06,Lakeshore Learning Materials
dc8aa27555154d8abc9fb3eebb5c8cc5,basketballs (set of 6),4.0,11.94,AKJ Education
09e750b5a7f14823ae2c90db45e118d8,art easel,24.0,16.77,Best Buy Co
09e750b5a7f14823ae2c90db45e118d8,privacy partition,32.0,40.04,School Specialty
09e750b5a7f14823ae2c90db45e118d8,"gaiam kids stay-n-play balance ball, grey",9.0,100.73,AKJ Education
09e750b5a7f14823ae2c90db45e118d8,classroom library book set,1.0,5.28,Amazon Business
09e750b5a7f14823ae2c90db45e118d8,black write and wipe markers,27.0,105.26,Blick Art Materials
733f4374a93f4668ac617f2b85b492f0,black write and wipe markers,49.0,42.59,Discount School Supply
733f4374a93f4668ac617f2b85b492f0,soft seating cushion,47.0,32.71,Blick Art Materials
733f4374a93f4668ac617f2b85b492f0,"gaiam kids stay-n-play balance ball, grey",30.0,24.51,AKJ Education
733f4374a93f4668ac617f2b85b492f0,sensory fidget tools set,18.0,78.29,Lakeshore Learning Materials
8b209c2f4d24441092e18bc80f200a0e,art easel,41.0,277.78,Blick Art Materials
8b209c2f4d24441092e18bc80f200a0e,basketballs (set of 6),39.0,53.71,Woodwind & Brasswind
8b209c2f4d24441092e18bc80f200a0e,classroom library book set,48.0,3.58,AKJ Education
8b209c2f4d24441092e18bc80f200a0e,microscope for classroom use,14.0,37.42,Best Buy Co
49704041506b4610b0694e818231c202,black write and wipe markers,30.0,25.29,Amazon Business
49704041506b4610b0694e818231c202,privacy partition,5.0,78.56,Amazon Business
49704041506b4610b0694e818231c202,graphing calculator,46.0,35.27,Best Buy Co
49704041506b4610b0694e818231c202,sensory fidget tools set,20.0,8.49,Amazon Business
49704041506b4610b0694e818231c202,wireless headphones,12.0,9.25,Blick Art Materials
d0679cbc71934827a9ccd9ec3a6729b2,flexible seating stool,24.0,34.02,Amazon Business
d0679cbc71934827a9ccd9ec3a6729b2,apple ipad wi-fi 32gb,18.0,113.37,Woodwind & Brasswind
